Frame,Timestamp_seconds,Condition,Confidence,X1,Y1,X2,Y2
1,0.1,Inverted,0.799,677,91,791,166
1,0.1,Normal,0.788,492,556,601,630
1,0.1,Normal,0.771,678,556,791,630
1,0.1,Normal,0.635,488,88,601,163
1,0.1,Normal,0.443,489,325,601,398
1,0.1,Normal,0.284,678,325,790,398
2,0.2,Normal,0.902,477,497,595,572
2,0.2,Normal,0.893,674,496,784,572
2,0.2,Normal,0.756,675,261,785,335
2,0.2,Normal,0.746,676,25,788,99
2,0.2,Normal,0.65,481,27,597,101
2,0.2,Inverted,0.606,479,264,590,337
2,0.2,Displaced,0.403,482,25,597,102
3,0.3,Inverted,0.876,486,87,600,162
3,0.3,Normal,0.873,487,325,600,399
3,0.3,Normal,0.838,676,549,794,622
3,0.3,Normal,0.819,676,89,792,162
3,0.3,Normal,0.719,486,550,599,622
3,0.3,Normal,0.488,676,324,794,397
3,0.3,Displaced,0.358,678,323,791,400
4,0.4,Normal,0.799,482,18,594,91
4,0.4,Normal,0.79,676,479,785,553
4,0.4,Normal,0.751,481,481,596,556
4,0.4,Inverted,0.681,482,254,591,326
4,0.4,Normal,0.541,674,248,784,322
4,0.4,Normal,0.462,675,17,784,89
5,0.5,Normal,0.853,497,558,608,633
5,0.5,Normal,0.814,687,94,796,168
5,0.5,Normal,0.78,686,327,797,400
5,0.5,Normal,0.765,496,93,610,169
5,0.5,Normal,0.724,679,558,796,629
5,0.5,Normal,0.631,496,326,610,401
6,0.6,Normal,0.829,481,365,595,437
6,0.6,Normal,0.8,676,364,783,436
6,0.6,Deformed,0.741,483,133,602,211
6,0.6,Normal,0.662,479,598,594,672
6,0.6,Normal,0.662,676,136,784,206
6,0.6,Normal,0.561,675,597,783,671
7,0.7,Normal,0.87,498,504,611,580
7,0.7,Normal,0.857,498,40,613,116
7,0.7,Normal,0.814,689,505,797,580
7,0.7,Normal,0.765,683,43,797,119
7,0.7,Normal,0.722,680,273,797,347
7,0.7,Normal,0.595,496,270,610,347
8,0.8,Normal,0.845,675,77,783,149
8,0.8,Normal,0.796,480,78,594,153
8,0.8,Normal,0.747,676,308,784,381
8,0.8,Normal,0.711,481,308,594,380
8,0.8,Normal,0.559,676,538,783,611
9,0.9,Normal,0.862,678,316,794,390
9,0.9,Normal,0.846,680,541,798,617
9,0.9,Normal,0.77,686,88,792,170
9,0.9,Normal,0.668,493,315,606,389
9,0.9,Normal,0.665,496,87,605,162
9,0.9,Normal,0.607,494,542,607,616
10,1.0,Normal,0.765,481,468,595,540
10,1.0,Normal,0.747,675,467,785,538
10,1.0,Normal,0.746,676,237,783,309
10,1.0,Normal,0.486,482,3,596,76
11,1.1,Normal,0.877,690,526,797,601
11,1.1,Normal,0.865,689,51,798,125
11,1.1,Normal,0.761,496,525,610,599
11,1.1,Normal,0.66,689,288,797,364
11,1.1,Normal,0.659,496,287,610,363
12,1.2,Normal,0.848,481,11,594,84
12,1.2,Normal,0.794,481,245,595,316
12,1.2,Normal,0.793,676,476,783,551
12,1.2,Normal,0.538,675,244,784,316
12,1.2,Normal,0.477,674,10,783,83
12,1.2,Deformed,0.318,486,479,597,552
13,1.3,Normal,0.851,675,45,782,118
13,1.3,Normal,0.849,480,504,595,578
13,1.3,Normal,0.803,480,46,595,121
13,1.3,Normal,0.788,676,505,784,578
13,1.3,Normal,0.735,676,268,784,342
13,1.3,Fractured,0.489,484,274,593,341
14,1.4,Normal,0.874,689,244,798,317
14,1.4,Normal,0.834,497,243,609,318
14,1.4,Normal,0.797,686,475,797,550
14,1.4,Normal,0.299,685,2,799,75
15,1.5,Normal,0.843,481,588,597,661
15,1.5,Normal,0.824,483,120,596,194
15,1.5,Normal,0.727,676,588,785,658
15,1.5,Normal,0.637,482,357,596,429
15,1.5,Fractured,0.279,680,123,788,194
16,1.6,Normal,0.852,675,459,791,533
16,1.6,Normal,0.784,485,456,600,531
16,1.6,Normal,0.586,675,222,792,296
17,1.7,Normal,0.842,480,572,595,645
17,1.7,Normal,0.838,480,332,596,405
17,1.7,Normal,0.837,480,103,597,177
17,1.7,Normal,0.775,676,103,784,175
17,1.7,Normal,0.516,676,571,784,644
17,1.7,Deformed,0.28,680,334,789,406
18,1.8,Normal,0.861,682,348,795,422
18,1.8,Normal,0.82,685,112,794,187
18,1.8,Normal,0.767,493,577,606,651
18,1.8,Normal,0.735,493,348,605,421
18,1.8,Normal,0.727,495,111,609,187
19,1.9,Normal,0.897,675,415,788,491
19,1.9,Normal,0.881,483,420,597,493
19,1.9,Normal,0.867,482,182,597,255
19,1.9,Fractured,0.598,677,184,784,255
19,1.9,Normal,0.373,675,652,787,720
19,1.9,Normal,0.324,483,653,596,718
20,2.0,Normal,0.847,682,236,795,308
20,2.0,Normal,0.835,497,461,606,536
20,2.0,Normal,0.59,687,464,794,537
21,2.1,Normal,0.773,684,229,796,306
21,2.1,Normal,0.771,690,463,799,543
21,2.1,Normal,0.718,493,464,607,539
21,2.1,Normal,0.44,493,227,607,303
22,2.2,Normal,0.864,483,492,598,567
22,2.2,Normal,0.84,677,493,789,567
22,2.2,Normal,0.823,482,250,598,324
22,2.2,Normal,0.575,678,23,788,95
22,2.2,Deformed,0.392,480,22,603,98
22,2.2,Normal,0.38,677,252,789,324
23,2.3,Normal,0.862,477,592,590,667
23,2.3,Normal,0.841,673,591,781,666
23,2.3,Normal,0.833,672,371,782,443
23,2.3,Normal,0.781,475,146,592,218
23,2.3,Normal,0.578,477,374,592,444
23,2.3,Inverted,0.553,674,146,784,218
24,2.4,Normal,0.886,676,40,790,115
24,2.4,Inverted,0.741,677,515,792,593
24,2.4,Normal,0.557,490,513,600,587
24,2.4,Normal,0.499,488,41,599,115
25,2.5,Normal,0.794,489,591,602,666
25,2.5,Normal,0.758,489,123,602,196
